,task_name,description,category,hd4_phase,predecessors,successors,hash_id,p,t,h,task_seq,primitive_type
uuid-000-000-001,Ideological Formation,Forming motivations via exposure.,Ideation,Hunt,,uuid-000-000-002,,0.95,0.97,0.15,1,Concept
uuid-000-000-002,Radical Exposure,Encountering radical materials.,Digital Ideation,Hunt,uuid-000-000-001,uuid-000-000-003;uuid-000-000-004,,0.85,0.92,0.28,2,Concept
uuid-000-000-003,Self Identification,Participating with radical groups.,Ideation,Hunt,uuid-000-000-002,uuid-000-000-005,,0.72,0.84,0.33,3,Concept
uuid-000-000-004,Recruitment,Initiating contact with extremists.,HUMINT Digital,Hunt,uuid-000-000-002,uuid-000-000-006,,0.72,0.84,0.33,4,Actor
uuid-000-000-005,Technical Training,Consuming operational tradecraft.,Cyber Training,Hunt,uuid-000-000-003,uuid-000-000-007,,0.65,0.78,0.38,5,Object
uuid-000-000-006,Overseas Travel,Traveling abroad for instruction.,Travel Tradecraft,Hunt,uuid-000-000-004,uuid-000-001-001,,0.55,0.74,0.43,6,Unclassified
uuid-000-000-007,Identity Documentation,Acquiring false IDs for operations.,Logistics,Hunt,uuid-000-000-005,uuid-000-001-001,,0.82,0.87,0.29,7,Unclassified
uuid-000-001-001,Planning Initiation,Initiating plot formation.,Intelligence,Hunt,uuid-000-000-006;uuid-000-000-007,uuid-001-000-001,,0.94,0.97,0.16,1001,Event
uuid-001-000-001,Pre-Operational Planning,Identifying intelligence sources and attack methodologies.,Planning,Hunt,uuid-000-001-001,uuid-001-001-001;uuid-001-002-001;uuid-001-003-001;uuid-001-004-001;uuid-001-005-001;uuid-001-006-001;uuid-001-008-001;uuid-001-009-001;uuid-001-010-001;uuid-001-011-001;uuid-001-012-001;uuid-001-013-001;uuid-001-014-001;uuid-001-015-001;uuid-001-016-001;uuid-001-017-001,,0.87,0.91,0.23,1000001,Concept
uuid-001-001-001,OSINT Collection,Gathering intel from public sources.,Intelligence,Hunt,uuid-001-000-001,uuid-002-000-001,,0.87,0.92,0.28,1001001,Event
uuid-001-002-001,Social Eng. Pretexting,Conducting deceptive interactions to extract info.,HUMINT,Hunt,uuid-001-000-001,uuid-001-009-001,,0.82,0.87,0.33,1002001,Actor
uuid-001-003-001,Insider Recruitment,Exploiting individuals via incentives or coercion.,HUMINT,Hunt,uuid-001-000-001,uuid-002-000-001,,0.72,0.82,0.38,1003001,Actor
uuid-001-004-001,Unwitting Accomplice Manipulation,Using individuals for indirect target access.,HUMINT,Hunt,uuid-001-000-001,uuid-002-000-001,,0.67,0.77,0.43,1004001,Actor
uuid-001-005-001,Physical Surveillance,Observing target locations and routines.,Reconnaissance,Hunt,uuid-001-000-001,uuid-002-000-001,,0.82,0.87,0.33,1005001,Unclassified
uuid-001-006-001,Cyber Reconnaissance,Identifying live hosts and network topology.,Cyber Reconnaissance,Hunt,uuid-001-000-001,uuid-001-007-001,,0.87,0.92,0.28,1006001,Object
uuid-001-007-001,Vulnerability Scanning,Assessing networks and supply chains for weaknesses.,Cyber Reconnaissance,Hunt,uuid-001-006-001,uuid-002-000-001,,0.82,0.87,0.33,1007001,Object
uuid-001-008-001,Digital Identity Harvesting,Collecting credentials via phishing or breaches.,Infiltration,Hunt,uuid-001-000-001,uuid-002-000-001,,0.77,0.82,0.38,1008001,Unclassified
uuid-001-009-001,Malware Deployment for Access,Sending payloads to establish persistence.,Infiltration,Hunt,uuid-001-002-001,uuid-002-000-001,,0.72,0.82,0.43,1009001,Unclassified
uuid-001-010-001,Dark Web Analysis,Monitoring forums for intel and procurement.,Intelligence,Hunt,uuid-001-000-001,uuid-002-000-001,,0.82,0.87,0.33,1010001,Event
uuid-001-011-001,RF Exploitation,Identifying RF vulnerabilities for interception.,Cyber Reconnaissance,Hunt,uuid-001-000-001,uuid-002-000-001,,0.72,0.82,0.38,1011001,Object
uuid-001-012-001,Packet Capture Analysis,Monitoring unencrypted traffic for flaws.,Cyber Reconnaissance,Hunt,uuid-001-000-001,uuid-002-000-001,,0.77,0.82,0.38,1012001,Object
uuid-001-013-001,Supply Chain Vulnerability ID,Identifying vendor weaknesses for exploitation.,Indirect Attack,Hunt,uuid-001-000-001,uuid-002-000-001,,0.67,0.77,0.43,1013001,Unclassified
uuid-001-014-001,OPSEC Countermeasures,Using anonymization to avoid detection.,Counter-Surveillance,Hunt,uuid-001-000-001,uuid-003-000-001,,0.82,0.87,0.33,1014001,Unclassified
uuid-001-015-001,Attack Method Selection,Determining attack mechanisms.,Attack Planning,Hunt,uuid-001-000-001,uuid-002-000-001,,0.87,0.92,0.28,1015001,Concept
uuid-001-016-001,Escape and Evasion Planning,Developing exfiltration plans and deception.,Evasion Planning,Hunt,uuid-001-000-001,uuid-002-000-001,,0.77,0.82,0.38,1016001,Concept
uuid-001-017-001,Multi-Actor Coordination,Establishing secure comms for attack cells.,Operational Coordination,Hunt,uuid-001-000-001,uuid-002-000-001,,0.82,0.87,0.33,1017001,Unclassified
uuid-002-000-001,Reconnaissance and Targeting,Conducting surveillance to identify opportunities.,Targeting,Hunt,uuid-000-001-001,uuid-003-000-001,,0.88,0.93,0.27,2000001,Unclassified
uuid-002-001-001,OSINT Target Analysis,Detailed intel collection on locations.,Intelligence,Hunt,uuid-002-000-001,uuid-003-000-001,,0.82,0.87,0.33,2001001,Event
uuid-002-002-001,Social Eng. Reconnaissance,Using deception to extract security info.,HUMINT,Hunt,uuid-002-000-001,uuid-003-000-001,,0.77,0.82,0.38,2002001,Actor
uuid-002-003-001,Insider Threat Development,Manipulating individuals for target access.,HUMINT,Hunt,uuid-002-000-001,uuid-003-000-001,,0.67,0.77,0.43,2003001,Actor
uuid-002-004-001,Physical Surveillance,Observing target locations and response times.,Reconnaissance,Hunt,uuid-002-000-001,uuid-003-000-001,,0.82,0.87,0.33,2004001,Unclassified
