NAMES                                    PORTS                                                                                                                                                                 IMAGE
ctas7-supabase-api                       0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                                                                                           postgrest/postgrest:v11.2.2
ctas7-sledis-cache                       0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                                                                                                                           redis:7-alpine
ctas7-surrealdb                          0.0.0.0:8000->8000/tcp, [::]:8000->8000/tcp                                                                                                                           surrealdb/surrealdb:v2.3.7
ctas7-glaf-analytics                     0.0.0.0:9000->8000/tcp, [::]:9000->8000/tcp                                                                                                                           surrealdb/surrealdb:latest
ctas7-slotgraph-ecs                      0.0.0.0:9001->9001/tcp, [::]:9001->9001/tcp                                                                                                                           node:18-alpine
ctas7-postgres                           0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                                                                                           postgres:16-alpine
ctas7-foundation-daemon                  0.0.0.0:18103->18103/tcp, [::]:18103->18103/tcp, 0.0.0.0:18105->18105/tcp, [::]:18105->18105/tcp, 0.0.0.0:18500->18500/tcp, [::]:18500->18500/tcp                     ctas7-foundation-daemon-foundation-daemon
wazuh-docker-wazuh.manager-1             0.0.0.0:1514-1515->1514-1515/tcp, [::]:1514-1515->1514-1515/tcp, 0.0.0.0:514->514/udp, [::]:514->514/udp, 0.0.0.0:55000->55000/tcp, [::]:55000->55000/tcp, 1516/tcp   wazuh/wazuh-manager:4.7.2
wazuh-docker-wazuh.indexer-1             0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                                                                                           wazuh/wazuh-indexer:4.7.2
ctas7-glaf-system-glaf-ui-1              0.0.0.0:18018->80/tcp, [::]:18018->80/tcp                                                                                                                             nginx:alpine
ctas7-glaf-system-glaf-auto-graph-1      0.0.0.0:18040->18040/tcp, [::]:18040->18040/tcp                                                                                                                       node:18-alpine
ctas7-glaf-system-glaf-core-1            0.0.0.0:18019->18019/tcp, [::]:18019->18019/tcp                                                                                                                       surrealdb/surrealdb:latest
ctas7-glaf-system-glaf-visual-fabric-1   0.0.0.0:18030->18030/tcp, [::]:18030->18030/tcp                                                                                                                       node:18-alpine
ctas7-glaf-system-glaf-analytics-1       0.0.0.0:18025->18025/tcp, [::]:18025->18025/tcp                                                                                                                       surrealdb/surrealdb:latest
